target_step,episode_id,episode_type,state_role,state_role_id,episode_status,resolution,replay_source_step,replay_updates,active_test_episode_ids,recovery_start,recovery_confirmed
21450,test_008,test,post_recovery,test_008:post_recovery,recovered,deterministic_replay,21400,50,[],not_applicable,not_applicable
21850,joint_009,joint,pre_collapse,joint_009:pre_collapse,recovered,deterministic_replay,21800,50,[],not_applicable,not_applicable
21850,test_009,test,pre_collapse,test_009:pre_collapse,recovered,deterministic_replay,21800,50,[],not_applicable,not_applicable
21900,joint_009,joint,onset,joint_009:onset,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
21900,test_009,test,onset,test_009:onset,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
22150,joint_009,joint,train_recovery_start,joint_009:train_recovery_start,recovered,deterministic_replay,22100,50,[],not_applicable,not_applicable
22250,joint_009,joint,train_recovery_confirmed,joint_009:train_recovery_confirmed,recovered,deterministic_replay,22200,50,[],not_applicable,not_applicable
23950,joint_009,joint,test_trough,joint_009:test_trough,recovered,deterministic_replay,23900,50,[],not_applicable,not_applicable
23950,joint_009,joint,train_trough,joint_009:train_trough,recovered,deterministic_replay,23900,50,[],not_applicable,not_applicable
23950,test_009,test,test_trough,test_009:test_trough,recovered,deterministic_replay,23900,50,[],not_applicable,not_applicable
25200,train_015,train,pre_collapse,train_015:pre_collapse,recovered,exact_checkpoint,,0,"[""test_009""]",not_applicable,not_applicable
25250,train_015,train,onset,train_015:onset,recovered,deterministic_replay,25200,50,"[""test_009""]",not_applicable,not_applicable
25250,train_015,train,train_trough,train_015:train_trough,recovered,deterministic_replay,25200,50,"[""test_009""]",not_applicable,not_applicable
25550,train_015,train,train_recovery_start,train_015:train_recovery_start,recovered,deterministic_replay,25500,50,"[""test_009""]",not_applicable,not_applicable
25650,train_015,train,train_recovery_confirmed,train_015:train_recovery_confirmed,recovered,deterministic_replay,25600,50,"[""test_009""]",not_applicable,not_applicable
25700,train_015,train,post_recovery,train_015:post_recovery,recovered,exact_checkpoint,,0,"[""test_009""]",not_applicable,not_applicable
27050,joint_009,joint,test_recovery_start,joint_009:test_recovery_start,recovered,deterministic_replay,27000,50,[],not_applicable,not_applicable
27050,test_009,test,test_recovery_start,test_009:test_recovery_start,recovered,deterministic_replay,27000,50,[],not_applicable,not_applicable
27150,joint_009,joint,test_recovery_confirmed,joint_009:test_recovery_confirmed,recovered,deterministic_replay,27100,50,[],not_applicable,not_applicable
27150,test_009,test,test_recovery_confirmed,test_009:test_recovery_confirmed,recovered,deterministic_replay,27100,50,[],not_applicable,not_applicable
27200,joint_009,joint,post_recovery,joint_009:post_recovery,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
27200,test_009,test,post_recovery,test_009:post_recovery,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
27250,joint_010,joint,pre_collapse,joint_010:pre_collapse,not_recovered,deterministic_replay,27200,50,[],not_applicable,not_applicable
27250,test_010,test,pre_collapse,test_010:pre_collapse,not_recovered,deterministic_replay,27200,50,[],not_applicable,not_applicable
27300,joint_010,joint,onset,joint_010:onset,not_recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
27300,test_010,test,onset,test_010:onset,not_recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
27550,joint_010,joint,train_recovery_start,joint_010:train_recovery_start,not_recovered,deterministic_replay,27500,50,[],not_applicable,not_applicable
27650,joint_010,joint,train_recovery_confirmed,joint_010:train_recovery_confirmed,not_recovered,deterministic_replay,27600,50,[],not_applicable,not_applicable
31400,joint_010,joint,test_trough,joint_010:test_trough,not_recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
31400,joint_010,joint,train_trough,joint_010:train_trough,not_recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
31400,test_010,test,test_trough,test_010:test_trough,not_recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
48950,train_024,train,pre_collapse,train_024:pre_collapse,recovered,deterministic_replay,48900,50,"[""test_010""]",not_applicable,not_applicable
49000,train_024,train,onset,train_024:onset,recovered,exact_checkpoint,,0,"[""test_010""]",not_applicable,not_applicable
49200,train_024,train,train_trough,train_024:train_trough,recovered,exact_checkpoint,,0,"[""test_010""]",not_applicable,not_applicable
49250,train_024,train,train_recovery_start,train_024:train_recovery_start,recovered,deterministic_replay,49200,50,"[""test_010""]",not_applicable,not_applicable
49350,train_024,train,train_recovery_confirmed,train_024:train_recovery_confirmed,recovered,deterministic_replay,49300,50,"[""test_010""]",not_applicable,not_applicable
49400,train_024,train,post_recovery,train_024:post_recovery,recovered,exact_checkpoint,,0,"[""test_010""]",not_applicable,not_applicable
49900,train_026,train,pre_collapse,train_026:pre_collapse,not_recovered,exact_checkpoint,,0,"[""test_010""]",not_applicable,not_applicable
49950,train_026,train,onset,train_026:onset,not_recovered,deterministic_replay,49900,50,"[""test_010""]",not_applicable,not_applicable
49950,train_026,train,train_trough,train_026:train_trough,not_recovered,deterministic_replay,49900,50,"[""test_010""]",not_applicable,not_applicable
50000,joint_010,joint,terminal_unrecovered,joint_010:terminal_unrecovered,not_recovered,exact_checkpoint,,0,[],,
50000,protocol,protocol,terminal,protocol:terminal,observed,exact_checkpoint,,0,"[""test_010""]",not_applicable,not_applicable
50000,test_010,test,terminal_unrecovered,test_010:terminal_unrecovered,not_recovered,exact_checkpoint,,0,[],,
50000,train_026,train,terminal_unrecovered,train_026:terminal_unrecovered,not_recovered,exact_checkpoint,,0,"[""test_010""]",,
